"Country","K1","K2","K3","K4","K5"
"FaroeIslands",1.1159193201074418,6.826419735566695,50.149831748131234,43.76381658846585,39.84017146175866
"Fiji",0.044602161167977834,41.90376679577683,35.47259185253164,31.17311767019169,28.49048902247702
"Finland",2.915709831766718,19.729148516775076,47.17206382656543,42.631108725902685,39.7123478523133
"France",3.285376391482232,3.918479274027326,16.774227032043353,15.818392426515379,15.818392426515379
"FrenchGuiana",6.597143982820683,8.458073653537483,22.29036546546839,20.011390186379447,18.48420601731682
"FrenchPolynesia",15.729296586301167,29.363809006516274,31.46993087200886,27.786668378280993,25.474373448842048
"Gabon",19.93815515364085,33.73535426065191,37.51595219745189,34.360729877901555,32.02690428448063
"Gambia",41.949353455339875,41.89543486164654,38.39723390303349,34.31554194075338,31.625368202140393
"Georgia",5.969815461726812,7.274822911040343,14.937915510255259,13.326463968864587,12.301767559206105
"Germany",9.336168810517574,16.040344886526015,64.99227451740606,61.443529884921205,61.443529884921205
"Ghana",37.06829654052463,42.16078778940036,41.31269895812706,38.24869855657286,35.8284899864854
"Gibraltar",8.923959491496507,26.29718923528926,41.858430912107266,37.72859927297706,34.97231200739263
"Greece",2.1031661739778302,5.129172258140715,18.796511861430456,16.868617292611646,15.761497733982191
"Greenland",0.1290539417856419,5.292329901945601,36.389103362634756,31.680950351240142,28.805478789961676
"Grenada",0.3853779509909752,12.746626385132531,18.09040384323454,15.961338629630756,14.614119772702699
"Guadeloupe",4.011401763067946,16.732541786110737,30.373484832677306,27.107815925425566,25.009750802928366
"Guam",7.807677203646568,8.608429015817496,27.60148424472976,24.372578102378693,22.418721236858673
"Guatemala",14.094807905042897,36.35616173348789,43.05219491584031,41.24955957354551,39.755294744656176
"Guinea",10.765720557967411,14.52134256416354,16.63684965366727,15.526909042062398,14.623613446121967
"GuineaBissau",18.48841313295973,21.16125719191892,20.74229958984769,19.17147608054079,17.91888800545146
"Guyana",4.511541207231487,11.714722760505994,25.53608038688165,22.866981647822985,21.115400887806114
"Haiti",24.81016336933029,23.130333992922058,21.891616806277927,20.49927073625017,19.266662330769442
"Honduras",19.01363699096261,26.010673015330717,24.764176631898223,24.463198752494613,23.674116211771285
"Hungary",20.736567107440912,32.37514065636,36.84213767071529,33.5888234403536,31.33271234991497
"Iceland",2.537282704069807,6.098990575622547,53.26606072019105,46.907421319659846,42.92488230096746
"India",15.452510059306348,38.77226300490685,37.15828786634315,33.39183276507775,30.871828582675263
"Indonesia",7.779594630754961,35.08737865461506,38.8275138226656,35.01783529196093,32.47470252735443
"Iran",27.872957382884834,69.90734023909548,67.47203380700387,62.90398999323047,59.2054615253999
"Iraq",14.07303888249859,23.760253172894895,22.524272298759684,21.33752147243032,20.17170958033031
"Ireland",4.07613628294389,18.696122478143607,40.88215264363518,36.496745784380344,33.63975975260357
"Israel",4.092614070933882,7.055033640245704,28.84558158615053,25.489882065772445,23.39277661842471
"Italy",5.349594604541129,4.842184940775267,17.95503369888533,16.220007231647912,15.185838121337802
