,Date_reported,New_cases,SmoothedCases,cutDatesPV
384,2021-01-21,2415,2046.5966882881032,0
385,2021-01-22,2271,2059.6320739736075,0
386,2021-01-23,2524,2071.452003801735,0
387,2021-01-24,1357,2081.9146902345437,0
388,2021-01-25,796,2090.9055036656728,0
389,2021-01-26,3286,2098.343066529209,0
390,2021-01-27,2700,2104.1849919931083,0
391,2021-01-28,2512,2108.432788302978,0
392,2021-01-29,2547,2111.1354732193763,0
393,2021-01-30,2941,2112.3915034840516,0
394,2021-01-31,1550,2112.348718319759,0
395,2021-02-01,844,2111.2021176322783,0
396,2021-02-02,3299,2109.189436764542,0
397,2021-02-03,2615,2106.584630664368,0
398,2021-02-04,2356,2103.689530477232,0
399,2021-02-05,2361,2100.824073865463,0
400,2021-02-06,2411,2098.315626235711,0
401,2021-02-07,1256,2096.4879941948675,0
402,2021-02-08,594,2095.6507775612627,0
403,2021-02-09,2541,2096.089707312765,0
404,2021-02-10,2108,2098.058572175975,0
405,2021-02-11,2112,2101.773247672566,0
406,2021-02-12,2051,2107.4082131828113,0
407,2021-02-13,1999,2115.0957828829955,0
408,2021-02-14,1123,2124.9280957613832,0
409,2021-02-15,593,2136.961720666697,0
410,2021-02-16,2727,2151.224547793521,0
411,2021-02-17,2382,2167.7244714082117,0
412,2021-02-18,2525,2186.459232141776,0
413,2021-02-19,2556,2207.4266909774897,0
414,2021-02-20,2811,2230.6347584836017,0
415,2021-02-21,1555,2256.1102058506212,0
416,2021-02-22,805,2283.9056391860904,0
417,2021-02-23,3338,2314.104021935019,0
418,2021-02-24,2918,2346.820275509308,0
419,2021-02-25,2751,2382.199665701442,0
420,2021-02-26,2644,2420.4128806648837,0
421,2021-02-27,2800,2461.647912457183,0
422,2021-02-28,1487,2506.0990554448454,0
423,2021-03-01,711,2553.9535190411507,0
424,2021-03-02,3211,2605.376308562164,0
425,2021-03-03,2758,2660.4941478364435,0
426,2021-03-04,2752,2719.3792945305013,0
427,2021-03-05,2682,2782.0341306405458,0
428,2021-03-06,2731,2848.3773956687137,0
429,2021-03-07,1510,2918.2328705922146,0
430,2021-03-08,786,2991.3212209639173,0
431,2021-03-09,3685,3067.255573195214,0
432,2021-03-10,3383,3145.541236344059,1
433,2021-03-11,3387,3225.579800396671,0
434,2021-03-12,3497,3306.6776492542476,0
435,2021-03-13,3752,3388.058730567069,0
436,2021-03-14,2174,3468.8812330856267,0
437,2021-03-15,1383,3548.257642788696,0
438,2021-03-16,5258,3625.277488655995,0
439,2021-03-17,4599,3699.0319539671486,0
440,2021-03-18,4835,3768.6394251980405,0
441,2021-03-19,5036,3833.2709830058243,0
442,2021-03-20,5182,3892.1748126291195,0
443,2021-03-21,2845,3944.6985273538357,0
444,2021-03-22,1576,3990.3084601615055,0
445,2021-03-23,6285,4028.6050851660875,0
446,2021-03-24,6037,4059.3338797160673,0
447,2021-03-25,5566,4082.3911254513496,0
448,2021-03-26,5623,4097.824364979249,0
449,2021-03-27,5740,4105.827470511879,0
450,2021-03-28,3056,4106.730529956405,0
451,2021-03-29,1691,4100.985001134773,0
452,2021-03-30,6154,4089.1448118065628,0
453,2021-03-31,5197,4071.8442779716847,0
454,2021-04-01,4727,4049.7738628574866,0
